Species,InitialCondition,Units,Comment
Antibody_Plasma,3000000,,
APP_Plasma,28.03742035,,
BACE_Plasma,89.91335622,,
APP__BACE_Plasma,0.007002607,,
CTFbeta_Plasma,0.128122552,,
AB42_Plasma,0.341592701,,
AB42_Oligomer_Plasma,4.51E-11,,
AB42__Antibody_Plasma,1.43E-45,,
AB42_Oligomer__Antibody_Plasma,1.12E-48,,
GammaSecretase_Plasma,150000.5194,,
CTFbeta__GammaSecretase_Plasma,0.029658101,,
SolubleBACE_Plasma,0.295959743,,
Antibody_Peripheral,4.59E-40,,
Antibody_CSF,2.93E-44,,
AB42_CSF,0.411725338,,
AB42_Oligomer_CSF,0.002809592,,
AB42__Antibody_CSF,8.68E-48,,
AB42_Oligomer__Antibody_CSF,3.45E-47,,
SolubleBACE_CSF,0.003970015,,
Antibody_BrainISF,6.24E-44,,
APP_BrainISF,5.017106427,,
BACE_BrainISF,8.472290338,,
APP__BACE_BrainISF,0.001357164,,
CTFbeta_BrainISF,0.024830791,,
AB42_BrainISF,0.970534436,,
AB42_Oligomer_BrainISF,95.41650095,,
AB42_Plaque_BrainISF,1502.334526,,
AB42__Antibody_BrainISF,2.32E-47,,
AB42_Oligomer__Antibody_BrainISF,1.27E-42,,
AB42_Plaque__Antibody_BrainISF,2.00E-41,,
GammaSecretase_BrainISF,13050.27527,,
CTFbeta__GammaSecretase_BrainISF,0.005747989,,
SolubleBACE_BrainISF,0.01063311,,
FcR_BrainISF,0.261000312,,
AB42_Plaque__Antibody__FcR_BrainISF,1.99E-45,,
AB42_Oligomer__Antibody__FcR_BrainISF,1.27E-46,,

